代号,第一作者,年份,PMID,DOI,国家,受试者人群,性别,年龄均值_SD,训练水平,发育阶段,总样本量,干预组_n,对照组_n,干预组名称,对照组名称,跳跃动作类型,周期_周,频率_次每週,时长_min,触地次数,强度,地面,对照活动,CMJ是否报告,CMJ臂位,CMJ设备,CMJ单位,后测时间_周,IG前测_cm,IG后测_cm,CG前测_cm,CG后测_cm,其他结局,随机化方法,盲法,脱落率,ITT,数据来源,是否换算,提取备注
R01,Ramirez-Campillo,2015,25632706,10.1519/JSC.0000000000000665,智利,年轻男子业余足球运动员,男,CG 14.0±2.3 / PT24 14.2±2.2,>2年系统训练，无Plyo经验,青春期混合,166,PT24(54) / PT48(57),55,PT24(24h间歇) / PT48(48h间歇),CG(仅常规足球训练),跳深/栏架跳/连续跳等SSC动作,6,2,,,,,,是(CMJ),未明示(推断带臂),,cm,6,,,,,,计算机随机,未实施,,否(PP),Table,否,多Plyo组(PT24/PT48)；臂位未明示；数据需从CI/文字提取
R02,Ramirez-Campillo,2015,25789497,10.1519/JSC.0000000000000811,智利,亚精英青年男子足球运动员,男,CG 11.2±2.4 / BG 11.0±2.0 / UG 11.6±1.7,3-4年系统训练，无力量/Plyo史,青春期前-中期,54,BG(12)/UG(16)/B+UG(12),14,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,多臂设计(BG/UG/B+UG)；CMJA带臂；取BG vs CG或合并
R03,Ramirez-Campillo,2015,26010692,10.1519/JSC.0000000000000864,智利,年轻男子足球俱乐部球员,男,CG 13.0±1.9 / PPT 12.8±2.8 / NPPT 13.0±2.1,约4年球龄，无规律Plyo史,青春期前后混合,24,PPT(8)/NPPT(8),8,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,多臂(PPT计划vs非计划Plyo)；CMJA带臂
R04,Palma-Munoz,2018,待查,10.1519/JSC.000000000000XXXX,智利,地区级青年男子篮球运动员,男,CG 14.0±2.0 / PPT 14.6±1.1 / NPPT 13.8±2.0,>4年篮球训练，无Plyo史,混合,22,PPT(7)/NPPT(8),7,,,,6,2,,,,,,是(CMJ),未明示,,,,,,,,,,,,,,,特殊人群(篮球)；数据需确认
R05,Ramirez-Campillo,2014,24149707,10.1519/JSC.0b013e318295ef62,智利/西班牙,高水平中长跑运动员,男女混合,22.1±2.7,国家级/国际级,成年,32,17,15,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,特殊项目(中长跑)；CMJA带臂
R06,Van Roie,2020,32810152,10.1371/journal.pone.0237921,比利时,社区居住健康老年男性,男,PLYO 69.6±3.3 / WALK 70.5±5.1,无近12月规律力量训练,老年,32,13,14,,,,12,2,,,,,,是(斜台sledge CMJ),未明示,,,,,,,,,,,,,,,老年人群；斜台sledge CMJ非标准自由站立；臂位未明示
R07,Chang,2025,待查,10.1038/s41598-025-09673-w,中国台湾,青年男子赛艇运动员,男,EG 18.2±2.6 / CG 19.1±3.3,区域/国家级资格,青年/成年早期,23,11,12,,,,4,3,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；4周短周期；赛艇运动员
R08,Asadi,2017,27792040,10.23736/S0022-4707.16.06640-8,伊朗/智利,国家级青年男子篮球运动员,男,18.5±0.8,国家级，Leg Press ≥ 2.5×BW,青年成人,16,8,8,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,CMJA带臂；篮球国家级
R09,Blazevich,2003,14669938,10.1249/01.MSS.0000099092.83611.20,英国/新西兰/澳,竞技运动员（橄榄球/足球/篮网球）,男女混合,22.1±1.9,竞技水平，≥3月力量训练,成年,23,SQ(8)/FHS(7),SJ(8),,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；多干预组(SQ/FHS)；对照组SJ做拉伸
R10,Byrne,2010,20613646,10.1519/JSC.0b013e3181e38125,爱尔兰,大学校队学生（多项运动）,男,总体21.0±4.7,大学竞技水平,青年成人,19,MJH(6)/RSI(6),7,,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；多Plyo组(MJH最大跳高/RSI法)
R11,Sedano Campo,2009,19528837,10.1519/JSC.0b013e3181a38984,西班牙/比利时,西甲女足甲级联赛球员,女,PG 22.8±2.1 / CG 23.0±3.2,西甲一级，5+年球龄,青年/成年早期,20,10,10,,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；女足西甲
R12,Chelly,2010,,,突尼斯,青年男子足球运动员,男,,,,,,,,,,,,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,CMJA带臂；臂位未明示
R13,Idrizovic,2018,待查,10.1123/jsr.2017-0123,黑山/科索沃/克罗地亚/葡萄牙/斯洛文尼亚,国家级青年女排运动员,女,16.6±0.6,顶级联赛≥5年球龄,青春期后期,47,Plyo(13)/Skill(17),17,Plyo(常规+2次/周Plyo) / Skill(常规+2次/周技能),Control(仅常规排球训练),上下肢Plyo(跳箱/单腿跳/药球抛投等)/排球专项技能,12,2,,,,,,是(CMJA),带臂(明确),,cm,,,,,,,团队随机(Teams randomized),未实施,,否(PP),Table 3,,CMJA明确带臂(模仿排球表现+摆臂)；团队随机非个体随机；多臂(Skill可作为第二对照)；取Plyo vs Control
R14,Jlid,2019,31736978,10.3389/fphys.2019.01462,突尼斯/法国/卡塔尔,青少年男子足球学员,男,EG 11.8±0.4 / CG 11.6±0.5,足球学院，赛季中,青春期前期-中期,28,14,14,EG(常规赛季+MPT多维Plyo),CG(仅常规赛季训练),前向/侧向/后向跳深、栏架跳、立定跳远、交叉步跳（多维Plyo）,6,2,,,,,,是(手叉腰无臂),手叉腰无臂,,cm,6,,,,,,随机分配,,,否(PP),Table,,严格手叉腰CMJ；MPT多维Plyometric训练；青少年男足
R15,Jlid,2020,,,突尼斯,U-21男足（第三级别联赛）,男,EG 19±? / CG 19±?,赛季中5次/周训练,青年成人(已完生长),27,14,13,EG(常规赛季+6周MPT),CG(仅常规赛季训练),前向/侧向/后向跳深、栏架跳、立定跳远、交叉步跳（多维Plyo）,6,2,23,W1:140→W6:216(渐进),最大努力(渐进量),人工草皮,常规赛季(技战术+小场地+模拟赛，无Plyo),是(手叉腰无臂),手叉腰无臂,,cm,6,,,,,,计算机随机,未实施(测试者同法),1人(CG伤退),否(PP),Table 3,否(SD直接报告),完全符合CMJ标准：SJ明确手叉腰无臂；MPT=Multidirectional Plyometric Training
R16,Khlifa,2010,,,突尼斯/意大利合作,突尼斯一级职业男篮运动员,男,CG 24±? / PG 24±? / LPG 24±?,顶级职业，~8年球龄,青年成人(已完生长),27,PG(9)/LPG(9),9,PG(常规+无负重Plyo) / LPG(常规+负重背心10-11%BM Plyo),CG(仅常规篮球技战术),纵跳、跨步跳、立定跳远、跳深(DJ),10,前3周2次，后7周3次,90,总计约5000+触地/10周,最大努力(渐进量),室内/室外篮球馆,常规篮球技战术(6次/wk~90min+周末比赛)，无Plyo无力量,是(手叉腰无臂),手叉腰无臂,,cm,10,,,,,,随机分配(randomly assigned),测试者盲法(评估者不知分组),0%(27人均完成),否(PP),Table 3,是(SEM→SD: SD=SEM×√n),完全符合CMJ标准(手叉腰)；原文报告SEM需换算SD；PG vs CG主分析，LPG作亚组(负重Plyo)
R17,Kijowski/McBride,2015,,,美国,休闲训练男性(无竞技项目),男,TG 21±? / CG 21±?,休闲活跃,青年成人,19,9,10,TG(4周:深蹲90%1RM+跳深DJ 40cm Plyo),CG(维持正常活动，无训练),40cm跳深(Drop Jump),4,深蹲3次+Plyo 2次,,60次×4周=240触地,最大努力(监控跳高),AMTI测力台实验室,维持正常活动(no training),是(CMJ JH Table2),未明示(推断可能带臂或自然下垂),测力台,cm(m换算),4,,,,,,随机分配(randomly placed),未实施,0%(19人均完成),否(PP),Table 2 (JH行),否(m→cm已换算),臂位未明示(同类R12)；混合干预(Plyo+重训)标记敏感性；4周短周期；JH变化ns但数据完整
R18,Laurent,,,,比利时(ULB布鲁塞尔自由大学),体育科学/理疗专业学生(活跃但无规律Plyo/力量史),男女混合,KE 22±? / KF 22±? / CON 22±?,活跃生活方式，无系统Plyo/力量训练史,青年成人(已完生长),32,KE(11)/KF(11),10,KE(膝伸展触地Plyo) / KF(屈膝80°触地Plyo),CON(维持日常活动，无训练),原地连续跳、30cm DJ、前/侧/跨跳深,10,2,,W1:120→W10:220触地/次(约1700触地/10周),最大努力(渐进量),测力台实验室地面,维持日常体力活动(不训练),是(手叉腰无臂),手叉腰无臂,测力台,cm,10,,,,,,随机分配(KE/KF随机；CON按可用性配),未实施(分析者未盲分组),0%(32人均完成),否(PP),Table 2(正文Result段CMJ值),否(SD直接报告),完全符合CMJ标准(手叉腰)；三臂(KE/KF/CON)；主分析取KF(屈膝CMJ模式更匹配)vs CON
R19,Michailidis,2018,,,希腊,U-13男足(足球学院),男,INTG 11±? / CG 12±?,青训，无Plyo史,青春期前-中期,31,17,14,INTG(常规赛季+6周Plyo+COD),CG(仅常规赛季训练),纵跳/栏架跳/跳深/连续跳(PT 2次/wk)+COD(1次/wk),6,PT 2次 + COD 1次,PT~15-20,,最大努力(渐进量),人造草皮,常规赛季技战术(3次/wk训练+1比赛)，无Plyo无COD,是(手叉腰无臂),手叉腰无臂,Myotest,cm,6,,,,,,随机分配(randomly placed),未实施,约18%,否(PP),Table 1 + Result段CMJ/SJ文字,原文给CI需反推SD或联系作者,完全符合CMJ标准(手叉腰)；含少量COD但Plyo为主体；CMJ交互p>0.05但数据完整；原文未直接给CMJ SD仅给CI
R20,Negra,2016,,,突尼斯/奥地利合作,青春期前男足(U-13精英),男,PTG 12±? / CG 12±?,精英青训，3次/wk赛季中,"青春期前(Prepubertal, Tanner 1)",34,11,11,PTG(常规赛季+12周Plyo),CG(仅常规赛季训练，3次/wk技战术),踝跳/栏架跳/跳深(纵+横)/侧跳/连续跳(纵+侧),12,2,35,W1:112→W12:240触地(渐进),最大努力(渐进量),人造草皮,常规赛季(技战术+协调，无Plyo无力量),是(CMJ Table2),未明示(推断臂位不明，同类R12/R17),,cm,12,,,,,,随机分配(randomly assigned to CG/PTG/RTG),未实施,0%(34人均完成),否(PP),Table 2 (CMJ行),否(SD直接报告),臂位未明示(同类R12/R17/R20)；三臂含RTG(阻力训练组)；取PTG vs CG；RTG单独做阻力训练亚组
R21,Potdevin,2011,,,法国(里尔),青春期竞技泳将(Tanner 3-4),男女混合,GSP 13±? / GCONT 14±?,竞技游泳，赛季中,青春期中期(Pubertal),23,12,11,GSP(常规游泳+6周Plyo),GCONT(仅常规游泳训练5-6次/wk),纵跳/栏架跳/跳深(DJ)/立定跳/单腿跳(低肢Plyo),6,2,20,~120触地/次(约1440触地/6w),最大努力,泳馆旁干燥区域,常规游泳技战术(同期同教练同课时)，无Plyo,是(手叉腰无臂),手叉腰无臂,测力台,cm,6,,,,,,简单随机(random selection),未实施,0%(23人均完成),否(PP),Table 3 (CMJ行),否(SD直接报告),完全符合CMJ标准(手叉腰)；GCONT CMJ轻微下降ns(青春期泳将专项消耗典型现象)；男女混合但同队同质
R22,Ramirez-Campillo,2018,,,智利,全国级青年男足(职业俱乐部),男,CON 17±? / PJT-B 17±? / PJT-A 17±?,职业俱乐部青训，无Plyo史5月内,青春期后(Tanner 5),38,PJT-B(12)/PJT-A(14),12,PJT-B(常规+7周Plyo前置) / PJT-A(常规+7周Plyo后置),CON(仅常规赛季技战术，无Plyo),纵跳/栏架跳/跳深/单腿跳/连续跳(置换~11%技战术课),7,2,20,W1:~104触地/腿/次→约840触地/7周,最大努力,天然草皮,常规赛季(技战术+小场地+模拟赛)，无Plyo,是(手叉腰无臂),手叉腰无臂,接触垫,cm,7,,,,,,分层随机(concealment),单盲(测试者不知分组),22%(因伤/缺席/未完成),否(PP),Table 3 (CMJ行),否(SD直接报告),完全符合CMJ标准(手叉腰)；Plyo是置换(replace)11%常规技战术时间；主取PJT-B(效应更大)vs CON
R23,Rensing,2015,,,德国,州级男子手球运动员(Landesliga),男,IG 24±? / KG 24±?,州级联赛，集体训练,青年成人(已完生长),21,12,9,IG(常规+6周Plyo/Reaktivsprungkraft),KG(常规+非特异性躯干稳定训练，无跳跃),DJ(60cm 5箱)+栏架跳+垂直跳(深弓步跳)+180°转体跳,6,1,30,DJ:3×5sets=15+其他~60=~75/次，累~450触地/6w,最大努力(最短GCT，最高),室内手球场,非特异性躯干/上肢稳定训练(无Plyo无下肢爆发性跳跃),是(CMJ Table4),未明示(推断可能带臂或自然，同类R12/R17/R20),便携3D加速度,cm,6,,,,,,随机分配(randomisiert),测试者盲法(评估者不知分组),16%,否(PP),Table 4 + Results段,否,臂位不明(同类R12/R17/R20)；KG非跳跃稳定训练可接受为CON；频率仅1次/周(低于多数入选文献)；CMJ Pre SD IG未单列
R24,Rubley,2011,,,美国(内华达拉斯维加斯),青春期女足运动员(俱乐部),女,EG 13±? / CG 13±?,俱乐部，2-3年球龄，无既往Plyo史,青春期中期,20,10,10,EG(常规足球+低冲击Plyo 1次/周 14周),CG(仅常规赛季足球训练),Vertec VJ(1-step approach with arm swing) 单步助跑双臂摆动纵跳,14,1,,,,,,否(未报告CMJ；报告Vertec VJ),VJ带臂(1-step approach with arm swing) - 非CMJ手叉腰,Vertec,inch→cm,7/14,,,,,,整队分配(两支同水平俱乐部球队随机指定EG/CG),未实施,CG 2人因缺测Session退出分析,,Table 3 (VJ行),inch→cm,【排除于主CMJ分析】VJ带臂(1-step approach with arm swing)，非CMJ手叉腰，未报告CMJ；存入VJ-with-arm-swing敏感性亚组；Plyo 1次/周低冲击14周
R25,Chang/Chun-Hao Chang,2025,,,台湾(国立台湾体育大学),青年男性赛艇运动员(区域/国家级资格),男,EG 18.2±2.6 / CG 19.1±3.3,区域/国家级，常规赛艇水上训练,青年成人(已完生长),23,11,12,EG(常规赛艇+4周Plyo含少量MB throw),CG(常规赛艇S&C+水上训练，无Plyo),Box jump/DJ/SJ/Double-leg hops/Box-to-box/Multi-directional jump + 少量MB throw(5kg),4,3,30,W1~360→W4~480触地/次(累~1680触地/4w),最大努力(膝/髋屈下蹲即刻爆起),Kistler测力台(9260AA),常规赛艇off-water S&C + on-water rowing practice，无Plyo,是(手叉腰无臂),手叉腰无臂,Kistler测力台,cm(m换算),4,,,,,,随机数生成器随机分配,未实施(测试者同人但同协议),0%(23人均完成),否(PP),Table 3 (CMJ-JH行),JH原单位m→cm(x100),严格符合CMJ标准(手叉腰)；含少量MB throw(5kg)但Plyo跳跃为主体；4周短周期但有效；Group×Time p<0.05
R26,Santos,2011,,,葡萄牙(波尔图大学),青春期男篮运动员(俱乐部),男,EG 15±? / CG 15±?,俱乐部，3-4年球龄,青春期中期(Pubertal),24,14,10,EG(常规篮球+10周Plyo 2次/wk),CG(仅常规篮球赛季技战术，无Plyo),Rim jump/MB toss/Zigzag/Ankle hop/SJ/Tuck jump/Alt leg push-off/Lateral jump/DJ(40cm)/Hurdle hops/Box-to-box,10,2,30,W1~120→W10~240触地/次(渐进~1800触地/10w),最大努力(渐进量),室内球场(Ergo Tester垫),常规赛季技战术+比赛(2-3次/wk+1场/周)，无Plyo,是(CMJ手叉腰，带臂CMJ separately listed),手叉腰无臂,Ergo Tester接触垫,cm,10,,,,,,简单随机(randomly assigned),未实施,0%(24人均完成),否(PP),Table 3 (CMJ行),否(SD直接报告),严格符合CMJ标准：文中分测CMJ(无臂)与ABA(Abalakov带臂CMJ)分别报告；Table3 CMJ行=手叉腰；含少量MB toss(3kg)但Plyo跳跃为主体
R27,Toumi,2004,,,法国(Clermont-Ferrand)+美国(Wisconsin),健康久坐男性大学生(无训练史),男,19±?,久坐健康，无Plyo/抗阻史,青年成人(已完生长),30,TG1(12)/TG2(12),6,TG1(快ECC 0.5s Smith机SSC训练)/TG2(慢ECC 2s Smith机SSC训练),CG(无训练，维持日常活动),Smith机ECC/CON 6×10reps(70%MVC leg press)，文中称plyometric training,8,4,45,,70%MVC leg press 1RM等长大肌群,测力台(Kistler 9281B),无训练(日常活动),是(CMJ手叉腰),手叉腰无臂,Kistler测力台,cm,8,,,,,,随机分配,未实施,0%(30人均完成),否(PP),Table 3 (CMJ行),否(SD直接报告),严格符合CMJ标准(手叉腰)；干预为Smith机快/慢ECC-CON SSC训练(非经典跳箱/DJ)但作者称plyometric training；两TG均做Plyo类干预；主取TG1(效应大)vs CG
R28,Van Roie,2020,,,比利时(KU Leuven),社区居住健康老年人(排除近期抗阻训练史),男,PLYO 69.6±3.3 / WALK 70.5±5.1,久坐/无系统训练12个月内,老年,39,13,14,PLYO(12周渐进Plyo: step-up jump/CMJ on sledge),WALK(12周渐进步行计划),Forward step-up jump/Lateral step-up jump/CMJ on sledge(20°倾斜),12,2,,W1~40→W12~160触地/次(低冲击年龄适应),渐进(低→中),室内训练场+sledge装置,渐进步行计划(计步器监控)，无Plyo无力量,是(斜台sledge CMJ),未明示(同类R12/R17/R20/R28),定制sledge with force platform(Kistler-type load cells),m→cm,12,,,,,,区组随机(block size 3),未实施(测试者同但标准协议),有脱落,,Table + Results文字,m→cm(x100),臂位未明示(同类R12/R17/R20)；注意CMJ在20°倾斜雪橇上完成(sledge apparatus)非自由落地双足CMJ；CMJ数据=Estimated Marginal Means；取PLYO vs WALK
R29,Vescovi,2008,,,美国(康涅狄格大学),娱乐竞技女大学生(高中篮球经历+校际联赛),女,Tr 20±? / Con 20±?,娱乐活跃(intramural篮球+其他运动2-3次/wk)，无Plyo史,青年成人(已完生长),20,10,10,Tr(常规+6周Sportsmetrics标准Plyo程序),Con(无训练，维持日常活动),Wall jump/Tuck jump/Broad jump/Squat jump/Side-front cone/180° jump(经典Plyo),6,3,~60(含热身),W1~150→W6~300触地/次(约1350触地/6w),最大努力(后期阶段强调max height/distance),室内木地板/垫,无训练(日常活动照常),是(CMJ手叉腰),手叉腰无臂,测力台,cm,6,,,,,,随机分配(randomly assigned),未实施,2人VGRF outlier移除(CMJ数据保留n=10/8),否(PP),Table 3 (CMJ行: Baseline+6wk),后测SD未直接给；可用Pre SD近似或按Change SD推算,严格符合CMJ标准(手叉腰)；Sportsmetrics标准Plyo程序；效应接近零但应保留(fail-safe N/precision)；后测CMJ SD未直接给需推算
R30,Yanci,2017,,,西班牙(UPV/EHU),业余男五人制球员(西乙/地区联赛),男,整体22±?,业余竞技，赛季中,青年成人(已完生长),39,PT1D(12)/PT2D(15),12,PT1D(常规+6周Plyo 1d/wk) / PT2D(常规+6周Plyo 2d/wk),CG(仅常规赛季五人制训练+比赛，无Plyo),VCMJAS(训练带臂但测CMJ手叉腰)、VDJ、HSLLJ、ankle hop、lateral step,6,PT1D=1 / PT2D=2(同总周触地量),,,最大努力,室内木地板(Optojump),常规赛季技战术+1场联赛/周，无Plyo,是(CMJ手叉腰),手叉腰无臂,Optojump,cm(m→cm换算),6,,,,,,抽签随机(cluster randomized by team drawing lots),未实施,11%,否(PP),Table 4 (CMJ bilateral行),m→cm(x100),严格符合CMJ标准(手叉腰)；训练含VCMJAS带臂练习但测试CMJ手叉腰；赛季并发训练干扰致CMJ下降(零/负效应保留)；主取PT1D vs CG(较保守)
R31,Zubac,2017,,10.1519/JSC.0000000000001626,Croatia/Slovenia,健康活跃大学生,混合(男50%),22.4±4.7,活跃休闲级,青年成人,20,10,10,PL/YO(8周增强式训练),CTRL(维持常规日常活动),连续垂直跳跃(consecutive vertical jumps),8,3,35-45,~1300(总计),最大努力起跳,室内体育馆,,是(AMTI测力台),臂位未明示(颈后杆固定但未提hands on hips),AMTI测力台HE600X600,cm,8,,,,,,0%,否(PP),,,Figure1 + Abstract + Results,,"PL/YO CMJ↑12.2%(31.2→35.0cm,p=0.015);CTRL无变化(31.5→31.5cm);臂位未明示;纳入宽版池/敏感性分析"
